,season,pday,count
860,1986,25,9
861,1986,26,9
862,1986,27,9
863,1986,28,9
864,1986,29,9
865,1986,30,9
866,1986,31,9
867,1986,32,9
868,1986,33,9
869,1986,34,9
870,1987,1,9
871,1987,2,9
872,1987,3,9
873,1987,4,9
874,1987,5,9
875,1987,6,9
876,1987,7,9
877,1987,8,9
878,1987,9,9
879,1987,10,9
880,1987,11,9
881,1987,12,9
882,1987,13,9
883,1987,14,9
884,1987,15,9
885,1987,16,9
886,1987,17,9
887,1987,18,9
888,1987,19,9
889,1987,20,9
890,1987,21,9
891,1987,22,9
892,1987,23,9
893,1987,24,9
894,1987,25,9
895,1987,26,9
896,1987,27,9
897,1987,28,9
898,1987,29,9
899,1987,30,9
900,1987,31,9
901,1987,32,9
902,1987,33,9
903,1987,34,9
904,1988,1,9
905,1988,2,9
906,1988,3,9
907,1988,4,9
908,1988,5,9
909,1988,6,9
910,1988,7,9
911,1988,8,9
912,1988,9,9
913,1988,10,9
914,1988,11,9
915,1988,12,9
916,1988,13,9
917,1988,14,9
918,1988,15,9
919,1988,16,9
920,1988,17,9
921,1988,18,9
922,1988,19,9
923,1988,20,9
924,1988,21,9
925,1988,22,9
926,1988,23,9
927,1988,24,9
928,1988,25,9
929,1988,26,9
930,1988,27,9
931,1988,28,9
932,1988,29,9
933,1988,30,9
934,1988,31,9
935,1988,32,9
936,1988,33,9
937,1988,34,9
938,1989,1,9
939,1989,2,9
940,1989,3,9
941,1989,4,9
942,1989,5,9
943,1989,6,9
944,1989,7,9
945,1989,8,9
946,1989,9,9
947,1989,10,9
948,1989,11,9
949,1989,12,9
950,1989,13,9
951,1989,14,9
952,1989,15,9
953,1989,16,9
954,1989,17,9
955,1989,18,9
956,1989,19,9
957,1989,20,9
958,1989,21,9
959,1989,22,9
960,1989,23,9
961,1989,24,9
962,1989,25,9
963,1989,26,9
964,1989,27,9
965,1989,28,9
966,1989,29,9
967,1989,30,9
968,1989,31,9
969,1989,32,9
970,1989,33,9
971,1989,34,9
972,1990,1,9
973,1990,2,9
974,1990,3,9
975,1990,4,9
976,1990,5,9
977,1990,6,9
978,1990,7,9
979,1990,8,9
980,1990,9,9
981,1990,10,9
982,1990,11,9
983,1990,12,9
984,1990,13,9
985,1990,14,9
986,1990,15,9
987,1990,16,9
988,1990,17,9
989,1990,18,9
990,1990,19,9
991,1990,20,9
992,1990,21,9
993,1990,22,9
994,1990,23,9
995,1990,24,9
996,1990,25,9
997,1990,26,9
998,1990,27,9
999,1990,28,9
1000,1990,29,9
1001,1990,30,9
1002,1990,31,9
1003,1990,32,9
1004,1990,33,9
1005,1990,34,9
1006,1991,1,9
1007,1991,2,9
1008,1991,3,9
1009,1991,4,9
1010,1991,5,9
1011,1991,6,9
1012,1991,7,9
1013,1991,8,9
1014,1991,9,9
1015,1991,10,9
1016,1991,11,9
1017,1991,12,9
1018,1991,13,9
1019,1991,14,9
1020,1991,15,9
1021,1991,16,9
1022,1991,17,9
1023,1991,18,9
1024,1991,19,9
1025,1991,20,9
1026,1991,21,9
1027,1991,22,9
1028,1991,23,9
1029,1991,24,9
1030,1991,25,9
1031,1991,26,9
1032,1991,27,9
1033,1991,28,9
1034,1991,29,9
1035,1991,30,9
1036,1991,31,9
1037,1991,32,9
1038,1991,33,9
1039,1991,34,9
1040,1992,1,9
1041,1992,2,9
1042,1992,3,9
1043,1992,4,9
1044,1992,5,9
1045,1992,6,9
1046,1992,7,9
1047,1992,8,9
1048,1992,9,9
1049,1992,10,9
1050,1992,11,9
1051,1992,12,9
1052,1992,13,9
1053,1992,14,9
1054,1992,15,9
1055,1992,16,9
1056,1992,17,9
1057,1992,18,9
1058,1992,19,9
1059,1992,20,9
1060,1992,21,9
1061,1992,22,9
1062,1992,23,9
1063,1992,24,9
1064,1992,25,9
1065,1992,26,9
1066,1992,27,9
1067,1992,28,9
1068,1992,29,9
1069,1992,30,9
1070,1992,31,9
1071,1992,32,9
1072,1992,33,9
1073,1992,34,9
1074,1993,1,9
1075,1993,2,9
1076,1993,3,9
1077,1993,4,9
1078,1993,5,9
1079,1993,6,9
1080,1993,7,9
1081,1993,8,9
1082,1993,9,9
1083,1993,10,9
1084,1993,11,9
1085,1993,12,9
1086,1993,13,9
1087,1993,14,9
1088,1993,15,9
1089,1993,16,9
1090,1993,17,9
1091,1993,18,9
1092,1993,19,9
1093,1993,20,9
1094,1993,21,9
1095,1993,22,9
1096,1993,23,9
1097,1993,24,9
1098,1993,25,9
1099,1993,26,9
1100,1993,27,9
1101,1993,28,9
1102,1993,29,9
1103,1993,30,9
1104,1993,31,9
1105,1993,32,9
1106,1993,33,9
1107,1993,34,9
1108,1994,1,9
1109,1994,2,9
1110,1994,3,9
1111,1994,4,9
1112,1994,5,9
1113,1994,6,9
1114,1994,7,9
1115,1994,8,9
1116,1994,9,9
1117,1994,10,9
1118,1994,11,9
1119,1994,12,9
1120,1994,13,9
1121,1994,14,9
1122,1994,15,9
1123,1994,16,9
1124,1994,17,9
1125,1994,18,9
1126,1994,19,9
1127,1994,20,9
1128,1994,21,9
1129,1994,22,9
1130,1994,23,9
1131,1994,24,9
1132,1994,25,9
1133,1994,26,9
1134,1994,27,9
1135,1994,28,9
1136,1994,29,9
1137,1994,30,9
1138,1994,31,9
1139,1994,32,9
1140,1994,33,9
1141,1994,34,9
1142,1995,1,9
1143,1995,2,9
1144,1995,3,9
1145,1995,4,9
1146,1995,5,9
1147,1995,6,9
1148,1995,7,9
1149,1995,8,9
1150,1995,9,9
1151,1995,10,9
1152,1995,11,9
1153,1995,12,9
1154,1995,13,9
1155,1995,14,9
1156,1995,15,9
1157,1995,16,9
1158,1995,17,9
1159,1995,18,9
1160,1995,19,9
1161,1995,20,9
1162,1995,21,9
1163,1995,22,9
1164,1995,23,9
1165,1995,24,9
1166,1995,25,9
1167,1995,26,9
1168,1995,27,9
1169,1995,28,9
1170,1995,29,9
1171,1995,30,9
1172,1995,31,9
1173,1995,32,9
1174,1995,33,9
1175,1995,34,9
1176,1996,1,9
1177,1996,2,9
1178,1996,3,9
1179,1996,4,9
1180,1996,5,9
1181,1996,6,9
1182,1996,7,9
1183,1996,8,9
1184,1996,9,9
1185,1996,10,9
1186,1996,11,9
1187,1996,12,9
1188,1996,13,9
1189,1996,14,9
1190,1996,15,9
1191,1996,16,9
1192,1996,17,9
1193,1996,18,9
1194,1996,19,9
1195,1996,20,9
1196,1996,21,9
1197,1996,22,9
1198,1996,23,9
1199,1996,24,9
1200,1996,25,9
1201,1996,26,9
1202,1996,27,9
1203,1996,28,9
1204,1996,29,9
1205,1996,30,9
1206,1996,31,9
1207,1996,32,9
1208,1996,33,9
1209,1996,34,9
1210,1997,1,9
1211,1997,2,9
1212,1997,3,9
1213,1997,4,9
1214,1997,5,9
1215,1997,6,9
1216,1997,7,9
1217,1997,8,9
1218,1997,9,9
1219,1997,10,9
